Module Code,Module Title,Variant,Module Code and Title,Is module new in 2023,"Add assessment types? coursework, tests, year end exams?","Add PGTA roles e.g. classes, marking?",Add module level?,"Add module core focus e.g. prpogramming, AI/ML, Maths, robotocs eyc?",Add programme module is in?,Add module credit?
COMP0171,Bayesian Deep Learning,,COMP0171 Bayesian Deep Learning,FALSE,,,,,,
COMP0172,Artificial Intelligence for Biomedicine and Healthcare,,COMP0172 Artificial Intelligence for Biomedicine and Healthcare,FALSE,,,,,,
COMP0173,Artificial Intelligence for Sustainable Development,,COMP0173 Artificial Intelligence for Sustainable Development,FALSE,,,,,,
COMP0174,Practical Program Analysis,,COMP0174 Practical Program Analysis,FALSE,,,,,,
COMP0175,Statistical Learning Theory,,COMP0175 Statistical Learning Theory,FALSE,,,,,,
COMP0176,MSc Financial Technology Project,,COMP0176 MSc Financial Technology Project,FALSE,,,,,,
COMP0177,MSc Emerging Digital Technologies Project,,COMP0177 MSc Emerging Digital Technologies Project,FALSE,,,,,,
COMP0178,Database Fundamentals,,COMP0178 Database Fundamentals,FALSE,,,,,,
COMP0181,Modelling and Designing Embedded Systems,,COMP0181 Modelling and Designing Embedded Systems,TRUE,,,,,,
COMP0182,Real-world Multi-agent Systems,,COMP0182 Real-world Multi-agent Systems,TRUE,,,,,,
COMP0183,Designing Sensor Systems,,COMP0183 Designing Sensor Systems,TRUE,,,,,,
COMP0184,System Thinking through Speculative Design,,COMP0184 System Thinking through Speculative Design,TRUE,,,,,,
COMP0186,Foundations of Artificial Intelligence,,COMP0186 Foundations of Artificial Intelligence,FALSE,,,,,,
COMP0187,Probabilistic Modelling,,COMP0187 Probabilistic Modelling,FALSE,,,,,,
COMP0188,Deep Representations and Learning,,COMP0188 Deep Representations and Learning,FALSE,,,,,,
COMP0189,Applied Artificial Intelligence,,COMP0189 Applied Artificial Intelligence,FALSE,,,,,,
COMP0190,Artificial Intelligence for Domain-Specific Applications Project Preparation,,COMP0190 Artificial Intelligence for Domain-Specific Applications Project Preparation,FALSE,,,,,,
COMP0191,MSc Artificial Intelligence for Sustainable Development Project,,COMP0191 MSc Artificial Intelligence for Sustainable Development Project,FALSE,,,,,,
COMP0192,MSc Artificial Intelligence for Biomedicine and Healthcare Project,,COMP0192 MSc Artificial Intelligence for Biomedicine and Healthcare Project,FALSE,,,,,,
COMP0195,"Accountable, Transparent, and Responsible Artificial Intelligence",,"COMP0195 Accountable, Transparent, and Responsible Artificial Intelligence",FALSE,,,,,,
COMP0196,Quantum Information and Communication,,COMP0196 Quantum Information and Communication,FALSE,,,,,,
COMP0197,Applied Deep Learning,,COMP0197 Applied Deep Learning,FALSE,,,,,,
COMP0198,Machine Learning with Applications in Finance,,COMP0198 Machine Learning with Applications in Finance,FALSE,,,,,,
COMP0199,Intermediate Mathematics for Computer Science,,COMP0199 Intermediate Mathematics for Computer Science,FALSE,,,,,,
COMP0200,Policy and Regulation for Financial Technology,,COMP0200 Policy and Regulation for Financial Technology,FALSE,,,,,,
COMP0201,Software Engineering and Product Management in Financial Technology,,COMP0201 Software Engineering and Product Management in Financial Technology,FALSE,,,,,,
COMP0202,Mathematics for Robotics and Artificial Intelligence 1,,COMP0202 Mathematics for Robotics and Artificial Intelligence 1,TRUE,,,,,,
COMP0203,Introduction to Mechanical Systems,,COMP0203 Introduction to Mechanical Systems,TRUE,,,,,,
COMP0204,Introduction to Programming for Robotics and Artificial Intelligence,,COMP0204 Introduction to Programming for Robotics and Artificial Intelligence,TRUE,,,,,,
COMP0205,Mechatronics and Making,,COMP0205 Mechatronics and Making,TRUE,,,,,,
COMP0206,Mathematics for Robotics and Artificial Intelligence 2,,COMP0206 Mathematics for Robotics and Artificial Intelligence 2,TRUE,,,,,,
COMP0207,Introduction to Electronics,,COMP0207 Introduction to Electronics,TRUE,,,,,,
COMP0208,Control 1,,COMP0208 Control 1,TRUE,,,,,,
COMP0209,Data Structures and Algorithms,,COMP0209 Data Structures and Algorithms,TRUE,,,,,,
COMP0210,Research Computing with C++,,COMP0210 Research Computing with C++,FALSE,,,,,,
COMP0232,Innovation for a Fairer World,,COMP0232 Innovation for a Fairer World,FALSE,,,,,,
COMP0233,Research Software Engineering with Python,,COMP0233 Research Software Engineering with Python,FALSE,,,,,,
COMP0234,MSc Systems Engineering for the Internet of Things Project,,COMP0234 MSc Systems Engineering for the Internet of Things Project,TRUE,,,,,,
COMP0235,Engineering for Data Analysis 1,,COMP0235 Engineering for Data Analysis 1,TRUE,,,,,,
COMP0236,Cybersafety and Online Harms,,COMP0236 Cybersafety and Online Harms,TRUE,,,,,,
COMP0237,Automated Software Engineering,,COMP0237 Automated Software Engineering,TRUE,,,,,,
COMP0238,Advanced Mathematics for Computer Science,,COMP0238 Advanced Mathematics for Computer Science,TRUE,,,,,,
COMP0239,Engineering for Data Analysis 2,,COMP0239 Engineering for Data Analysis 2,TRUE,,,,,,
ENGF0032_T1,Design and Professional Skills,Term 1,ENGF0032_T1 Design and Professional Skills (Term 1 ),FALSE,,,,,,
ENGF0032_T2,Design and Professional Skills,Term 2,ENGF0032_T2 Design and Professional Skills (Term 2 ),FALSE,,,,,,
BENG0095,Data Mining and Analysis,,BENG0095 Data Mining and Analysis,FALSE,,,,,,
Design Club,Design Club,,Design Club,FALSE,,,,,,
